Saint-Pierre i Miquelon;6976;242;29
Wenezuela;24654694;912050;27
Laos;5921545;236800;25
Kirgistan;4892808;198500;25
Demokratyczna Republika Konga;56625039;2345410;24
Peru;28409897;1285220;22
Mozambik;17479266;801590;22
Brazylia;182032604;8511965;21
Bahamy;297477;13940;21
Dżibuti;457130;22000;21
Chile;15665216;756950;21
Szwecja;8878085;449964;20
Urugwaj;3413329;176220;19
Gwinea Równikowa;510473;28051;18
Święta Helena;7367;410;18
Wyspy Salomona;509190;28450;18
Vanuatu;199414;12200;16
Finlandia;5190785;337030;15
Sudan;38114160;2505810;15
Paragwaj;6036900;406750;15
Nowa Zelandia;3951307;268680;15
Norwegia;4546123;324220;14
Argentyna;38740807;2766890;14
Algieria;32818500;2381740;14
Zambia;10307333;752614;14
Oman;2807125;212460;13
Somalia;8025190;637657;13
Arabia Saudyjska;24293844;1960582;12
Belize;266440;22966;12
Papua-Nowa Gwinea;5295816;462840;11
Nowa Kaledonia;210798;19060;11
Turkmenistan;4775544;488100;9,8
Mali;11626219;1240000;9,4
Niger;11058590;1267000;8,7
Angola;10766471;1246700;8,6
Kongo;2954258;342000;8,6
Rosja;144526278;17075200;8,5
Niue;2145;260;8,2
Boliwia;8586443;1098580;7,8
Czad;9253493;1284000;7,2
Kazachstan;16763795;2727300;6,1
Republika Środkowoafrykańska;3683538;622984;5,9
Gabon;1321560;267667;4,9
Kanada;33212696;9976140;3,3
Gujana;702100;214970;3,3
Wyspa Bożego Narodzenia;433;135;3,2
Libia;5499074;1759540;3,1
Mauretania;2912584;1030700;2,8
Islandia;280798;103000;2,7
Surinam;435449;163270;2,7
Botswana;1573267;600370;2,6
Australia;19731984;7686850;2,6
Namibia;1927447;825418;2,3
Gujana Francuska;186917;91000;2
Mongolia;2712315;1565000;1,7
Pitcairn;46;47;1
Sahara Zachodnia;261794;266000;1
Falklandy;2967;12173;0,24
Svalbard;2811;62049;0,05
Grenlandia;56385;2166086;0,03
